"isolate","treatment","variable","mean_value","min_value","max_value","stdev_value","ENR","species","origin","mod_variable"
"20A1","inh",".5",0.0536666666666667,0.001,0.105,0.0300296150121472,"FabV","capeferrum","study_isolate",0.5
"20A1","inh","GC",0.162333333333333,0.003,0.266,0.0808627094387628,"FabV","capeferrum","study_isolate",0
"20A1","con","4",0.683666666666667,0.566,0.756,0.0593473766152398,"FabV","capeferrum","study_isolate",4
"20A1","inh","8",0,0,0,0,"FabV","capeferrum","study_isolate",8
"20A1","inh","4",0.00166666666666667,0,0.004,0.00120185042515466,"FabV","capeferrum","study_isolate",4
"20A1","con","128",0.076,0.058,0.095,0.0106926766215636,"FabV","capeferrum","study_isolate",128
"31A8","con",".5",1.15666666666667,1.093,1.255,0.0498742864053656,"FabV","fulva","study_isolate",0.5
"31A8","con","2",1.17833333333333,1.036,1.32,0.0819844158632874,"FabV","fulva","study_isolate",2
"31A8","con","GC",1.27166666666667,1.118,1.362,0.0772276576824075,"FabV","fulva","study_isolate",0
"31A8","con","1",1.17133333333333,1.111,1.257,0.0440088374963231,"FabV","fulva","study_isolate",1
"31A8","con",".25",1.18966666666667,1.106,1.354,0.0821712304344478,"FabV","fulva","study_isolate",0.25
"31A8","con","128",0.792,0.736,0.833,0.0289885034683292,"FabV","fulva","study_isolate",128
"31A8","con","32",0.767666666666667,0.639,0.835,0.0643566451718684,"FabV","fulva","study_isolate",32
"31A8","con","8",1.21633333333333,1.081,1.365,0.0822543480782492,"FabV","fulva","study_isolate",8
"31A8","inh","128",0.0233333333333333,0.013,0.033,0.00578311719096582,"FabV","fulva","study_isolate",128
"31A8","inh","32",0.014,0.006,0.028,0.00702376916856849,"FabV","fulva","study_isolate",32
"31A8","inh","2",0.007,0.001,0.017,0.00503322295684717,"FabV","fulva","study_isolate",2
"31A8","inh",".5",0.977333333333333,0.905,1.052,0.0424512792635406,"FabV","fulva","study_isolate",0.5
"31A8","con","64",0.645,0.632,0.663,0.00929157324317754,"FabV","fulva","study_isolate",64
"31A8","con","16",0.95,0.926,0.975,0.0141539158303747,"FabV","fulva","study_isolate",16
"31A8","con","4",1.19166666666667,1.112,1.28,0.048690633368008,"FabV","fulva","study_isolate",4
"31A8","inh","64",0.0446666666666667,0.036,0.06,0.00768837506311386,"FabV","fulva","study_isolate",64
"31A8","inh","16",0.000666666666666667,0,0.001,0.000333333333333333,"FabV","fulva","study_isolate",16
"31A8","inh","1",0.284333333333333,0.082,0.599,0.159464032865652,"FabV","fulva","study_isolate",1
"31A8","inh",".25",0.997,0.982,1.012,0.0086602540378444,"FabV","fulva","study_isolate",0.25
"31A8","inh","GC",1.051,0.995,1.12,0.0366651514838455,"FabV","fulva","study_isolate",0
"31A8","inh","4",0.00133333333333333,0.001,0.002,0.000333333333333333,"FabV","fulva","study_isolate",4
"31A8","inh","8",0.001,0,0.002,0.000577350269189626,"FabV","fulva","study_isolate",8
"34A1","con","2",1.233,1.166,1.329,0.0492375195692607,"FabV","plecoglossicida","study_isolate",2
"34A1","inh","2",0.000333333333333333,-0.001,0.001,0.000666666666666667,"FabV","plecoglossicida","study_isolate",2
"34A1","con",".5",1.24133333333333,1.191,1.308,0.0347483013173946,"FabV","plecoglossicida","study_isolate",0.5
"34A1","inh","128",0.032,0.021,0.041,0.00585946527708232,"FabV","plecoglossicida","study_isolate",128
"34A1","con","1",1.21933333333333,1.164,1.308,0.0447859104828492,"FabV","plecoglossicida","study_isolate",1
"34A1","con",".25",1.24666666666667,1.21,1.311,0.0322714183829041,"FabV","plecoglossicida","study_isolate",0.25
"34A1","inh","64",0.0376666666666667,0.006,0.075,0.0201190898844301,"FabV","plecoglossicida","study_isolate",64
"34A1","con","64",0.642,0.539,0.71,0.052373657500694,"FabV","plecoglossicida","study_isolate",64
"34A1","inh","1",0.00366666666666667,-0.002,0.013,0.00470224532655529,"FabV","plecoglossicida","study_isolate",1
"34A1","con","128",0.509,0.245,0.652,0.132152689466894,"FabV","plecoglossicida","study_isolate",128
"34A1","con","32",0.822333333333333,0.692,0.904,0.0658592775882369,"FabV","plecoglossicida","study_isolate",32
"34A1","con","8",1.191,1.149,1.25,0.0303699412797149,"FabV","plecoglossicida","study_isolate",8
"34A1","con","GC",1.28766666666667,1.258,1.306,0.0149703410485904,"FabV","plecoglossicida","study_isolate",0
"34A1","inh","32",0.00266666666666667,0,0.007,0.002185812841434,"FabV","plecoglossicida","study_isolate",32
"34A1","inh","8",-0.001,-0.002,0.001,0.001,"FabV","plecoglossicida","study_isolate",8
"34A1","inh",".5",0.289666666666667,0.006,0.784,0.248063387956475,"FabV","plecoglossicida","study_isolate",0.5
"34A1","inh","GC",1.06366666666667,0.985,1.169,0.054764140741101,"FabV","plecoglossicida","study_isolate",0
